"","state","excess_lower_estimate","excess_higher_estimate","covid_deaths"
"1","Alabama",20322,25936,18668
"2","Alaska",180,916,544
"3","Arizona",29881,37739,30124
"4","Arkansas",9239,13523,10500
"5","California",119382,146147,94618
"6","Colorado",11418,15850,11684
"7","Connecticut",12000,15039,14850
"8","Delaware",1360,3343,2596
"9","Florida",57883,76075,58406
"10","Georgia",31919,41158,31512
"11","Hawaii",74,850,844
"12","Idaho",2641,4606,3572
"13","Illinois",40854,51756,43846
"14","Indiana",19322,26162,24134
"15","Iowa",8443,12024,10484
"16","Kansas",7308,10792,8664
"17","Kentucky",11075,16413,8970
"18","Louisiana",15625,21933,18620
"19","Maine",365,1725,1282
"20","Maryland",15302,21571,15138
"21","Massachusetts",16990,21370,30962
"22","Michigan",32044,41546,32378
"23","Minnesota",8440,13307,12690
"24","Mississippi",12894,17318,12926
"25","Missouri",18549,25784,15932
"26","Montana",2379,3969,2630
"27","Nebraska",3585,5692,4204
"28","Nevada",8925,12787,9410
"29","New Hampshire",1017,2603,2252
"30","New Jersey",42088,48354,44906
"31","New Mexico",5216,8393,7016
"32","New York",39589,47719,91276
"33","North Carolina",8642,14611,21246
"34","North Dakota",1869,3221,2898
"35","Ohio",36339,48029,32742
"36","Oklahoma",11625,16372,8056
"37","Oregon",3744,8571,4250
"38","Pennsylvania",46754,57632,45642
"39","Rhode Island",1997,3771,4700
"40","South Carolina",15667,21342,16112
"41","South Dakota",2568,4298,3608
"42","Tennessee",21942,29779,21530
"43","Texas",94622,113166,82214
"44","Utah",3132,5551,3562
"45","Vermont",231,1317,374
"46","Virginia",17437,24565,13952
"47","Washington",3983,10458,9448
"48","West Virginia",3038,5459,4364
"49","Wisconsin",11664,17441,13464
"50","Wyoming",513,1488,1258
