"","DATE","COVID_TEST","DAILY_DELTA_TESTS","DAILY_BASE_TESTS","COVID_DEATHS","DAILY_DELTA_DEATHS","DAILY_BASE_DEATHS","COVID_COUNT","DAILY_DELTA_CASES","DAILY_BASE_CASES","COVID_COUNT_CUMSUM","COVID_DEATHS_CUMSUM","COVID_TEST_CUMSUM","POSITIVITY_RATE_ALL_TESTS","COVID_COUNT_BY_SPECIMEN_COLLECTION_DATE","CC7","CT7","CCT","CTT","TEST_RATE"
"1",2020-05-09,3358,0,3358,32,0,32,387,0,387,23970,1476,168681,8.54389163844751,315,592.285714285714,5310.42857142857,4023,37173,0.127192014999449
"2",2020-05-10,1324,0,1324,34,0,34,460,0,460,24430,1510,170005,7.87878787878788,144,577,5235.42857142857,3565,36648,0.120066808545028
"3",2020-05-11,7215,0,7215,41,0,41,506,0,506,24936,1551,177220,7.94901506373117,636,574.714285714286,5422.85714285714,3546,37960,0.118228059315876
"4",2020-05-12,6956,0,6956,38,0,38,373,0,373,25309,1589,184176,8.90451782095601,703,509.285714285714,5479.14285714286,3497,38354,0.111532563957711
"5",2020-05-13,7265,0,7265,26,0,26,601,0,601,25910,1615,191441,7.48370577281192,588,506.571428571429,5653,3542,39571,0.110210652695918
"6",2020-05-14,8067,0,8067,42,0,42,583,0,583,26493,1657,199508,6.55789143395042,524,499.571428571429,5850.42857142857,3647,40953,0.105979978925184
"7",2020-05-15,9741,0,9741,32,0,32,632,0,632,27125,1689,209249,8.23383744583002,865,506,6275.14285714286,3668,43926,0.0929498878865307
"8",2020-05-16,3169,0,3169,28,0,28,492,0,492,27617,1717,212418,6.85341310851237,246,521,6248.14285714286,3611,43737,0.0896110788203482
"9",2020-05-17,1931,0,1931,30,0,30,481,0,481,28098,1747,214349,8.70883882149047,196,524,6334.85714285714,3788,44344,0.0853905696774351
"10",2020-05-18,8357,0,8357,39,0,39,449,0,449,28547,1786,222706,7.5184226249751,695,515.857142857143,6498,3830,45486,0.0806356144424714
"11",2020-05-19,7088,0,7088,29,0,29,550,0,550,29097,1815,229794,7.31679819616685,589,541.142857142857,6516.85714285714,3706,45618,0.0833847771909367
"12",2020-05-20,6770,0,6770,31,0,31,643,0,643,29740,1846,236564,7.81862745098039,577,547.142857142857,6446.14285714286,3562,45123,0.0827169402850442
"13",2020-05-21,7635,0,7635,36,0,36,459,0,459,30199,1882,244199,7.87738958470666,653,529.428571428571,6384.42857142857,3543,44691,0.0793870641516071
"14",2020-05-22,8292,0,8292,18,0,18,488,0,488,30687,1900,252491,6.21596630021576,541,508.857142857143,6177.42857142857,3399,43242,0.0830373975185234
"15",2020-05-23,2854,0,2854,24,0,24,473,0,473,31160,1924,255345,6.18374558303887,209,506.142857142857,6132.42857142857,3307,42927,0.0848791082153226
"16",2020-05-24,1868,0,1868,15,0,15,337,0,337,31497,1939,257213,7.51005811354493,158,485.571428571429,6123.42857142857,3105,42864,0.0829249737083529
"17",2020-05-25,1822,0,1822,21,0,21,357,0,357,31854,1960,259035,8.325952170062,174,472.428571428571,5189.85714285714,3056,36329,0.0823736182415244
"18",2020-05-26,7925,0,7925,19,0,19,348,0,348,32202,1979,266960,7.54105007095074,654,443.571428571429,5309.42857142857,3074,37166,0.0825354671884828
"19",2020-05-27,6488,0,6488,14,0,14,594,0,594,32796,1993,273448,6.83534743202417,453,436.571428571429,5269.14285714286,3144,36884,0.0792973124300112
"20",2020-05-28,7173,0,7173,18,0,18,477,0,477,33273,2011,280621,6.56531531531532,497,439.142857142857,5203.14285714286,3010,36422,0.0910292053180655
